"","atividade_indegree","atividade_outdegree","atividade_totaldegree","atividade_incloseness","atividade_outcloseness","atividade_totalcloseness","atividade_betweenness","atividade_eigenvector","atividade_reach_in_vec","atividade_reach_out_vec"
"84",4,1,5,0.000130890052356021,0.0009765625,0.00149253731343284,13.1,0.004,0.796791443850267,NA
"4",3,0,3,0.00013728720483251,2.87505031338048e-05,0.00158730158730159,0,0.072,0.802139037433155,NA
"10",4,0,4,0.000138121546961326,2.87505031338048e-05,0.00163934426229508,0,0.131,0.802139037433155,NA
"11",3,0,3,0.000138102472034249,2.87505031338048e-05,0.0016366612111293,0,0.118,0.802139037433155,NA
"69",2,0,2,0.000133226751931788,2.87505031338048e-05,0.00144300144300144,0,0.001,0.802139037433155,NA
"72",2,0,2,0.000133618385889898,2.87505031338048e-05,0.00133868808567604,0,0.002,0.802139037433155,NA
"74",9,0,9,0.000138083402375035,2.87505031338048e-05,0.00173310225303293,0,0.105,0.802139037433155,NA
"75",5,0,5,0.000135722041259501,2.87505031338048e-05,0.00145560407569141,0,0.014,0.802139037433155,NA
"78",4,0,4,0.000139450564774787,2.87505031338048e-05,0.00151975683890578,0,0.016,0.807486631016043,NA
"79",3,0,3,0.000139275766016713,2.87505031338048e-05,0.0014903129657228,0,0.015,0.807486631016043,NA
"82",3,0,3,0.000133707714935152,2.87505031338048e-05,0.00141043723554302,0,0.002,0.802139037433155,NA
"83",2,0,2,0.000136481506755835,2.87505031338048e-05,0.00125944584382872,0,0.001,0.807486631016043,NA
"85",4,0,4,0.000135574837310195,2.87505031338048e-05,0.00143266475644699,0,0.008,0.802139037433155,NA
"86",3,0,3,0.000133707714935152,2.87505031338048e-05,0.00141043723554302,0,0.002,0.802139037433155,NA
"87",3,0,3,0.000133707714935152,2.87505031338048e-05,0.00141043723554302,0,0.002,0.802139037433155,NA
"88",4,0,4,0.000135722041259501,2.87505031338048e-05,0.00143472022955524,0,0.01,0.802139037433155,NA
"89",4,0,4,0.000135722041259501,2.87505031338048e-05,0.00143884892086331,0,0.012,0.802139037433155,NA
"90",3,0,3,0.000133707714935152,2.87505031338048e-05,0.00141043723554302,0,0.002,0.802139037433155,NA
"92",4,0,4,0.000135703623286742,2.87505031338048e-05,0.0014367816091954,0,0.01,0.802139037433155,NA
"93",4,0,4,0.000135814206165965,2.87505031338048e-05,0.00144927536231884,0,0.013,0.802139037433155,NA
"94",4,0,4,0.000135906496330525,2.87505031338048e-05,0.00150375939849624,0,0.018,0.802139037433155,NA
"95",3,0,3,0.000135943447525829,2.87505031338048e-05,0.00151515151515152,0,0.018,0.802139037433155,NA
"96",4,0,4,0.000135648399348888,2.87505031338048e-05,0.00144508670520231,0,0.011,0.802139037433155,NA
"97",3,0,3,0.000133707714935152,2.87505031338048e-05,0.00141043723554302,0,0.002,0.802139037433155,NA
"98",4,0,4,0.000135648399348888,2.87505031338048e-05,0.00144508670520231,0,0.011,0.802139037433155,NA
"99",4,0,4,0.000135685210312076,2.87505031338048e-05,0.00144927536231884,0,0.012,0.802139037433155,NA
"100",4,0,4,0.000135795763172189,2.87505031338048e-05,0.00148588410104012,0,0.016,0.802139037433155,NA
"101",4,0,4,0.000135795763172189,2.87505031338048e-05,0.00148588410104012,0,0.016,0.802139037433155,NA
"103",6,0,6,0.000136276914690651,2.87505031338048e-05,0.00151975683890578,0,0.044,0.802139037433155,NA
"106",5,0,5,0.000135869565217391,2.87505031338048e-05,0.00151515151515152,0,0.025,0.802139037433155,NA
"108",4,0,4,0.000135648399348888,2.87505031338048e-05,0.00145985401459854,0,0.012,0.802139037433155,NA
"111",1,0,1,0.000133564845732603,2.87505031338048e-05,0.00118343195266272,0,0.002,0.802139037433155,NA
"167",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,0.0053475935828877
